yearmonth,bundle,executeCount,userCount
200804,org.eclipse.equinox.p2.core,1230,357
200804,org.eclipse.equinox.p2.director,1225,355
200804,org.eclipse.equinox.p2.engine,1222,355
200804,org.eclipse.equinox.p2.exemplarysetup,1216,356
200804,org.eclipse.equinox.p2.extensionlocation,10,3
200804,org.eclipse.equinox.p2.garbagecollector,1205,356
200804,org.eclipse.equinox.p2.metadata,1208,355
200804,org.eclipse.equinox.p2.metadata.generator,1167,346
200804,org.eclipse.equinox.p2.metadata.repository,1203,354
200804,org.eclipse.equinox.p2.reconciler.dropins,1159,347
200804,org.eclipse.equinox.p2.touchpoint.eclipse,1163,344
200804,org.eclipse.equinox.p2.touchpoint.natives,3,1
200804,org.eclipse.equinox.p2.ui,1214,354
200804,org.eclipse.equinox.p2.ui.sdk,1214,354
200804,org.eclipse.equinox.p2.updatechecker,1214,354
200804,org.eclipse.equinox.p2.updatesite,1139,341
200804,org.eclipse.equinox.preferences,3507,827
200804,org.eclipse.equinox.preferences.jmx,20,8
200804,org.eclipse.equinox.registry,3502,826
200804,org.eclipse.equinox.registry.jmx,20,8
200804,org.eclipse.equinox.security,14,7
200804,org.eclipse.equinox.security.ui,9,9
200804,org.eclipse.equinox.simpleconfigurator,1255,356
200804,org.eclipse.equinox.simpleconfigurator.manipulator,1204,354
200804,org.eclipse.externaltools,9,2
200804,org.eclipse.gef,277,140
200804,org.eclipse.gef.examples.shapes,1,1
200804,org.eclipse.gef.examples.ui.pde,1,1
200804,org.eclipse.gmf.bridge,1,1
200804,org.eclipse.gmf.bridge.trace,3,3
200804,org.eclipse.gmf.bridge.ui,7,5
200804,org.eclipse.gmf.bridge.ui.dashboard,7,2
200804,org.eclipse.gmf.codegen,6,6
200804,org.eclipse.gmf.codegen.edit,1,1
200804,org.eclipse.gmf.codegen.ui,1,1
200804,org.eclipse.gmf.common,9,4
200804,org.eclipse.gmf.ecore.editor,34,19
200804,org.eclipse.gmf.examples.ui.pde,5,5
200804,org.eclipse.gmf.graphdef.codegen,1,1
200804,org.eclipse.gmf.graphdef.edit,8,5
200804,org.eclipse.gmf.graphdef.editor,3,3
200804,org.eclipse.gmf.map,10,7
200804,org.eclipse.gmf.map.edit,7,4
200804,org.eclipse.gmf.map.editor,2,2
200804,org.eclipse.gmf.runtime.common.core,41,24
200804,org.eclipse.gmf.runtime.common.ui,41,24
200804,org.eclipse.gmf.runtime.common.ui.action,30,18
200804,org.eclipse.gmf.runtime.common.ui.action.ide,29,17
200804,org.eclipse.gmf.runtime.common.ui.printing,1,1
200804,org.eclipse.gmf.runtime.common.ui.services,30,18
200804,org.eclipse.gmf.runtime.common.ui.services.action,30,18
200804,org.eclipse.gmf.runtime.common.ui.services.properties,15,8
200804,org.eclipse.gmf.runtime.diagram.core,53,32
200804,org.eclipse.gmf.runtime.diagram.ui,41,23
200804,org.eclipse.gmf.runtime.diagram.ui.actions,30,18
200804,org.eclipse.gmf.runtime.diagram.ui.geoshapes,9,7
200804,org.eclipse.gmf.runtime.diagram.ui.outline,6,5
200804,org.eclipse.gmf.runtime.diagram.ui.printing,2,2
200804,org.eclipse.gmf.runtime.diagram.ui.printing.render,2,2
200804,org.eclipse.gmf.runtime.diagram.ui.properties,15,8
200804,org.eclipse.gmf.runtime.diagram.ui.providers,30,18
200804,org.eclipse.gmf.runtime.diagram.ui.providers.ide,29,17
200804,org.eclipse.gmf.runtime.diagram.ui.render,30,17
200804,org.eclipse.gmf.runtime.diagram.ui.resources.editor,31,18
200804,org.eclipse.gmf.runtime.draw2d.ui,37,19
200804,org.eclipse.gmf.runtime.draw2d.ui.render,30,17
200804,org.eclipse.gmf.runtime.draw2d.ui.render.awt,1,1
200804,org.eclipse.gmf.runtime.emf.clipboard.core,13,8
200804,org.eclipse.gmf.runtime.emf.commands.core,33,21
200804,org.eclipse.gmf.runtime.emf.core,40,26
200804,org.eclipse.gmf.runtime.emf.type.core,30,17
200804,org.eclipse.gmf.runtime.emf.type.ui,26,14
200804,org.eclipse.gmf.runtime.emf.ui,29,16
200804,org.eclipse.gmf.runtime.emf.ui.properties,15,8
200804,org.eclipse.gmf.runtime.gef.ui,32,18
200804,org.eclipse.gmf.runtime.notation,39,24
200804,org.eclipse.gmf.runtime.notation.edit,26,14
200804,org.eclipse.gmf.runtime.notation.providers,1,1
200804,org.eclipse.gmf.tooldef,10,7
200804,org.eclipse.gmf.tooldef.edit,8,4
200804,org.eclipse.gmf.validate,9,7
200804,org.eclipse.gmf.xpand,16,4
200804,org.eclipse.gmf.xpand.editor,4,1
200804,org.eclipse.gmt.am3.dsls.km3,18,4
200804,org.eclipse.gmt.am3.tools.ant,6,4
200804,org.eclipse.gmt.tcs.actions,2,1
200804,org.eclipse.gmt.tcs.builder,9,4
200804,org.eclipse.gmt.tcs.dsls,6,1
200804,org.eclipse.gmt.tcs.emfresource,6,1
200804,org.eclipse.gmt.tcs.metadata,8,1
200804,org.eclipse.gmt.tcs.wizard,2,2
200804,org.eclipse.help,3512,827
200804,org.eclipse.help.base,344,200
200804,org.eclipse.help.ui,231,157
200804,org.eclipse.help.webapp,124,97
200804,org.eclipse.hyades.execution,259,127
200804,org.eclipse.hyades.logging.core,1,1
200804,org.eclipse.hyades.probekit,107,61
200804,org.eclipse.hyades.probekit.ui,3,2
200804,org.eclipse.hyades.sdb,2,2
200804,org.eclipse.hyades.test.core,10,6
200804,org.eclipse.hyades.test.tools.core,9,5
200804,org.eclipse.hyades.test.tools.ui,2,2
200804,org.eclipse.hyades.test.ui,3,3
200804,org.eclipse.hyades.trace.ui,229,118
200804,org.eclipse.hyades.trace.views,6,5
200804,org.eclipse.hyades.ui,10,10
200804,org.eclipse.jdt.apt.core,2521,650
200804,org.eclipse.jdt.apt.pluggable.core,1183,343
200804,org.eclipse.jdt.apt.ui,18,15
200804,org.eclipse.jdt.astview,2,1
200804,org.eclipse.jdt.core,3319,779
200804,org.eclipse.jdt.core.manipulation,3290,784
200804,org.eclipse.jdt.debug,2205,634
200804,org.eclipse.jdt.debug.ui,1970,610
200804,org.eclipse.jdt.junit,2050,582
200804,org.eclipse.jdt.launching,2893,709
200804,org.eclipse.jdt.launching.j9,13,1
200804,org.eclipse.jdt.launching.macosx,474,110
200804,org.eclipse.jdt.ui,3315,783
200804,org.eclipse.jem,1679,445
200804,org.eclipse.jem.beaninfo,34,18
200804,org.eclipse.jem.proxy,38,21
200804,org.eclipse.jem.ui,1239,338
200804,org.eclipse.jem.util,2505,593
200804,org.eclipse.jem.workbench,1233,370
200804,org.eclipse.jet,20,8
200804,org.eclipse.jet.core,20,8
200804,org.eclipse.jet.ui,160,48
200804,org.eclipse.jface,3556,827
200804,org.eclipse.jpa.db,2,1
200804,org.eclipse.jpa.db.ui,2,1
200804,org.eclipse.jpt.core,1264,351
200804,org.eclipse.jpt.db,38,16
200804,org.eclipse.jpt.ui,50,28
200804,org.eclipse.jsch.core,3122,726
200804,org.eclipse.jsch.ui,183,69
200804,org.eclipse.jst.common.annotations.ui,53,36
200804,org.eclipse.jst.common.frameworks,1805,454
200804,org.eclipse.jst.common.project.facet.core,705,235
200804,org.eclipse.jst.ejb.ui,26,19
200804,org.eclipse.jst.j2ee,1649,445
200804,org.eclipse.jst.j2ee.core,1664,443
200804,org.eclipse.jst.j2ee.ejb,1334,367
200804,org.eclipse.jst.j2ee.ejb.annotation.model,1,1
200804,org.eclipse.jst.j2ee.ejb.annotations.emitter,1,1
200804,org.eclipse.jst.j2ee.ejb.annotations.ui,1,1
200804,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,59,24
200804,org.eclipse.jst.j2ee.jca,1328,362
200804,org.eclipse.jst.j2ee.jca.ui,1,1
200804,org.eclipse.jst.j2ee.navigator.ui,258,113
200804,org.eclipse.jst.j2ee.ui,744,282
200804,org.eclipse.jst.j2ee.web,1418,387
200804,org.eclipse.jst.j2ee.webservice,767,289
200804,org.eclipse.jst.j2ee.webservice.ui,770,289
200804,org.eclipse.jst.j2ee.xdoclet.runtime,4,3
200804,org.eclipse.jst.jee,1373,398
200804,org.eclipse.jst.jee.ejb,159,82
200804,org.eclipse.jst.jee.ui,228,110
200804,org.eclipse.jst.jee.web,159,82
200804,org.eclipse.jst.jsf.apache.trinidad.tagsupport,9,7
200804,org.eclipse.jst.jsf.common,1840,453
200804,org.eclipse.jst.jsf.common.runtime,28,14
200804,org.eclipse.jst.jsf.common.ui,154,70
200804,org.eclipse.jst.jsf.core,2334,514
200804,org.eclipse.jst.jsf.facesconfig,47,21
200804,org.eclipse.jst.jsf.facesconfig.ui,29,19
200804,org.eclipse.jst.jsf.standard.tagsupport,2,1
200804,org.eclipse.jst.jsf.ui,373,152
200804,org.eclipse.jst.jsp.core,1497,406
200804,org.eclipse.jst.jsp.ui,566,238
200804,org.eclipse.jst.pagedesigner,142,63
200804,org.eclipse.jst.pagedesigner.jsf.ui,15,12
200804,org.eclipse.jst.pagedesigner.jsp.core,20,14
200804,org.eclipse.jst.server.core,918,281
200804,org.eclipse.jst.server.generic.core,193,81
200804,org.eclipse.jst.server.generic.ui,35,29
200804,org.eclipse.jst.server.preview.adapter,111,59
200804,org.eclipse.jst.server.tomcat.core,668,184
200804,org.eclipse.jst.server.tomcat.ui,303,127
200804,org.eclipse.jst.server.ui,932,321
200804,org.eclipse.jst.servlet.ui,666,232
200804,org.eclipse.jst.validation.sample,3,2
200804,org.eclipse.jst.validation.test,3,2
200804,org.eclipse.jst.ws,14,11
200804,org.eclipse.jst.ws.axis.consumption.core,12,10
