bundle, executeCount200807, userCount200807, executeCount200808, userCount200808, executeCount200809, userCount200809, executeCount200810, userCount200810, executeCount200811, userCount200811, executeCount200812, userCount200812, executeCount200901, userCount200901, executeCount200902, userCount200902, executeCount200903, userCount200903
org.eclipse.cdt.debug.mi.core, 4343, 2286, 6137, 3153, 8100, 4209, 13387, 6470, 15069, 7243, 14506, 7143, 13783, 6924, 15593, 7637, 4988, 3327
org.eclipse.cdt.debug.mi.ui, 4315, 2278, 6175, 3156, 8108, 4211, 13380, 6457, 15088, 7239, 14565, 7142, 13840, 6933, 15629, 7644, 4984, 3336
org.eclipse.cdt.debug.ui, 8782, 3333, 11580, 4384, 14662, 5674, 23972, 8622, 26669, 9597, 26119, 9616, 25043, 9313, 27571, 10254, 8956, 4722
org.eclipse.cdt.launch, 8724, 3937, 11942, 5236, 15317, 6928, 24706, 10229, 27511, 11410, 26998, 11500, 26417, 11412, 29660, 12655, 9464, 5762
org.eclipse.cdt.make.core, 10798, 3367, 13830, 4491, 17779, 5892, 28602, 8829, 31531, 9843, 31314, 9825, 30514, 9700, 33551, 10568, 10965, 5073
org.eclipse.cdt.make.ui, 15587, 4907, 20167, 6459, 25395, 8346, 40117, 12153, 43835, 13481, 43033, 13497, 43118, 13681, 47557, 14897, 15450, 7025
org.eclipse.cdt.managedbuilder.core, 9386, 3034, 12152, 3968, 15772, 5296, 25447, 7956, 28262, 8889, 27938, 8856, 27134, 8705, 29878, 9457, 9763, 4538
org.eclipse.cdt.managedbuilder.core.tests, 375, 99, 597, 195, 831, 281, 1423, 462, 1408, 474, 1581, 522, 1736, 548, 1813, 583, 559, 283
org.eclipse.cdt.managedbuilder.gnu.ui, 5334, 2368, 7063, 3039, 9628, 4080, 15928, 6376, 17292, 6946, 16311, 6738, 15164, 6445, 17021, 7048, 5510, 3004
org.eclipse.cdt.managedbuilder.ui, 3671, 2227, 4447, 2681, 6004, 3573, 9778, 5557, 10340, 5941, 9445, 5685, 8537, 5218, 9671, 5841, 3185, 2215
org.eclipse.cdt.managedbuilder.ui.tests, 34, 26, 72, 58, 106, 72, 221, 164, 228, 174, 240, 184, 204, 161, 282, 219, 68, 51
org.eclipse.cdt.managedbuilder.xlc.ui, 69, 48, 104, 72, 121, 76, 253, 171, 299, 187, 327, 212, 363, 225, 432, 276, 83, 64
org.eclipse.cdt.mylyn.ui, 4194, 2322, 5908, 3066, 7554, 3991, 11440, 5715, 12329, 6198, 12938, 6512, 13087, 6604, 14403, 7206, 4655, 3073
org.eclipse.cdt.refactoring, 61, 29, 26, 9, 28, 15, 58, 18, 50, 19, 66, 24, 45, 11, 44, 16, 0, 0
org.eclipse.cdt.ui, 15906, 5075, 20648, 6658, 26018, 8599, 40855, 12446, 44609, 13856, 44072, 13902, 44051, 14097, 48553, 15319, 15817, 7254
org.eclipse.cdt.ui.tests, 485, 156, 923, 284, 1230, 408, 2094, 699, 2212, 758, 2612, 850, 2999, 931, 3065, 1016, 967, 481
org.eclipse.compare, 73145, 26701, 96592, 35470, 127863, 48772, 201269, 72170, 229625, 82686, 232197, 84162, 231362, 84112, 258759, 93102, 84171, 46022
org.eclipse.contribution.xref.core, 110, 60, 178, 70, 240, 113, 515, 245, 758, 325, 712, 356, 704, 361, 669, 368, 172, 135
org.eclipse.contribution.xref.ui, 112, 61, 178, 71, 238, 111, 517, 245, 754, 325, 709, 353, 704, 364, 669, 369, 170, 132
org.eclipse.core.contenttype, 121231, 34283, 150274, 43994, 202950, 60377, 319634, 88864, 355297, 100536, 352227, 101962, 351896, 102171, 393630, 112912, 129793, 55918
org.eclipse.core.databinding, 121142, 34271, 150267, 43992, 202952, 60370, 319585, 88850, 355110, 100534, 352057, 101943, 351856, 102159, 393598, 112885, 129819, 55925
org.eclipse.core.expressions, 121191, 34279, 150286, 43995, 202962, 60375, 319586, 88868, 355280, 100540, 352210, 101962, 351916, 102177, 393620, 112906, 129761, 55934
org.eclipse.core.filebuffers, 119861, 34183, 149032, 43918, 201294, 60283, 317111, 88733, 352672, 100374, 349800, 101828, 349465, 102033, 391074, 112723, 128911, 55854
org.eclipse.core.filesystem, 119325, 34000, 148446, 43705, 198800, 59725, 313987, 88026, 349355, 99586, 346972, 101149, 346522, 101345, 387295, 111942, 127530, 55480
org.eclipse.core.jobs, 121212, 34281, 150295, 44000, 202963, 60376, 319642, 88869, 355306, 100542, 352252, 101980, 351894, 102180, 393664, 112912, 129760, 55934
org.eclipse.core.net, 121198, 34284, 150329, 44001, 202962, 60375, 319634, 88869, 355284, 100549, 352265, 101983, 351887, 102179, 393663, 112918, 129781, 55919
org.eclipse.core.resources, 121189, 34284, 150277, 43996, 202935, 60376, 319617, 88860, 355083, 100538, 352121, 101957, 351804, 102164, 393597, 112898, 129786, 55937
