yearmonth,ccode,userCount
200901,dk,678
200809,dk,502
200902,dk,783
200903,dk,564
200810,dk,642
200806,dk,42
200808,dk,319
200812,dk,648
200811,dk,750
200804,dk,10
200805,dk,24
200807,dk,227
200807,do,16
200901,do,38
200809,do,17
200902,do,37
200903,do,29
200810,do,23
200806,do,1
200808,do,20
200812,do,35
200811,do,29
200804,dz,2
200805,dz,1
200807,dz,25
200901,dz,100
200809,dz,25
200902,dz,93
200903,dz,42
200810,dz,35
200806,dz,1
200808,dz,24
200812,dz,93
200811,dz,73
200804,ec,1
200805,ec,1
200807,ec,21
200901,ec,62
200809,ec,29
200902,ec,58
200903,ec,29
200810,ec,51
200806,ec,2
200808,ec,23
200812,ec,74
200811,ec,68
200804,ee,4
200805,ee,4
200807,ee,54
200901,ee,173
200809,ee,122
200902,ee,175
200903,ee,127
200810,ee,151
200806,ee,6
200808,ee,58
200812,ee,164
200811,ee,173
200805,eg,1
200807,eg,30
200901,eg,120
200809,eg,54
200902,eg,140
200903,eg,89
200810,eg,100
200806,eg,1
200808,eg,66
200812,eg,134
200811,eg,138
200804,es,15
200805,es,41
200807,es,865
200901,es,3440
200809,es,1607
200902,es,3716
200903,es,2635
200810,es,2745
200806,es,84
200808,es,1037
200812,es,3463
200811,es,3482
200811,et,1
200901,et,3
200902,et,3
200812,et,2
200811,eu,55
200804,eu,1
200805,eu,3
200807,eu,23
200901,eu,74
200809,eu,37
200903,eu,54
200902,eu,69
200810,eu,51
200806,eu,6
200808,eu,26
200812,eu,55
200812,fi,695
200811,fi,740
200804,fi,11
200805,fi,18
200807,fi,186
200901,fi,733
200809,fi,510
200903,fi,502
200902,fi,800
200810,fi,701
200806,fi,31
200808,fi,294
200901,fj,1
200806,fo,2
200808,fo,1
200812,fo,2
200811,fo,1
200804,fo,1
200805,fo,1
200807,fo,1
200809,fo,1
200901,fo,2
200903,fo,1
200902,fo,1
200810,fo,2
200810,fr,5102
200806,fr,250
200808,fr,2073
200812,fr,6390
200811,fr,5998
200804,fr,85
200805,fr,157
200807,fr,1786
200809,fr,3011
200901,fr,6613
200903,fr,4232
200902,fr,6842
200810,ga,1
200808,ga,1
200812,ga,1
200806,gb,179
200810,gb,2916
200808,gb,1619
200812,gb,3129
200811,gb,3286
200804,gb,57
200805,gb,93
200807,gb,1270
200809,gb,1968
200901,gb,3384
200903,gb,2478
200902,gb,3864
200810,gd,1
200902,ge,9
200808,ge,3
200810,ge,14
200812,ge,15
200811,ge,10
200807,ge,4
200809,ge,4
200901,ge,5
200903,ge,5
200809,gh,1
200901,gh,3
200903,gh,7
200902,gh,11
200808,gh,3
200810,gh,3
200811,gh,2
200901,gi,3
200903,gi,4
200902,gi,3
200810,gi,4
200812,gi,3
200811,gi,3
200903,gl,1
200902,gl,1
200901,gn,1
200902,gn,1
200812,gn,1
200901,gp,2
200812,gp,2
200811,gp,1
200901,gq,2
200902,gq,1
200810,gq,1
200809,gr,137
200806,gr,7
200903,gr,129
200901,gr,257
200808,gr,83
200902,gr,243
200810,gr,217
200804,gr,2
200812,gr,257
200805,gr,2
200811,gr,268
200807,gr,81
200809,gt,11
200806,gt,1
200903,gt,8
200901,gt,12
200808,gt,7
200902,gt,19
200810,gt,12
200812,gt,12
200811,gt,20
200807,gt,2
200903,gu,1
200901,gu,1
200902,gu,2
200812,gu,1
200811,gu,2
200809,gy,1
200903,gy,1
200807,gy,1
200809,hk,271
200806,hk,18
200903,hk,262
200808,hk,205
200901,hk,344
200902,hk,375
200804,hk,2
200810,hk,404
200805,hk,7
200812,hk,408
200811,hk,450
200807,hk,175
200809,hn,7
200903,hn,3
200808,hn,1
200901,hn,4
200902,hn,2
200810,hn,6
200812,hn,5
200811,hn,4
200807,hr,56
200806,hr,7
200809,hr,95
200903,hr,67
200808,hr,56
200901,hr,124
200902,hr,119
200810,hr,110
200812,hr,114
200811,hr,127
200811,ht,1
200807,ht,3
200809,ht,2
200903,ht,4
200808,ht,1
200901,ht,4
200902,ht,4
200810,ht,3
200812,ht,2
200812,hu,507
200811,hu,529
200807,hu,216
200806,hu,20
200809,hu,347
200804,hu,2
200903,hu,370
200805,hu,5
200808,hu,252
200901,hu,504
200902,hu,605
200810,hu,496
200812,id,79
200811,id,68
200807,id,40
200806,id,1
200809,id,33
200903,id,41
200805,id,1
200808,id,37
200901,id,90
200902,id,77
200810,id,48
200810,ie,306
200812,ie,318
200811,ie,393
200807,ie,86
200806,ie,15
200809,ie,206
200804,ie,5
200903,ie,258
200805,ie,8
200808,ie,129
200901,ie,355
200902,ie,455
200902,il,991
200810,il,523
200812,il,1107
200811,il,783
200807,il,280
200806,il,36
200809,il,408
200804,il,13
200903,il,523
200805,il,29
200808,il,340
200901,il,1150
200805,in,19
200808,in,822
200901,in,2089
200902,in,2152
200810,in,1323
200812,in,1830
200811,in,1546
200807,in,544
200806,in,33
200809,in,1121
200804,in,12
200903,in,1273
200903,ir,44
200808,ir,22
200901,ir,65
200902,ir,81
200810,ir,33
200812,ir,68
200811,ir,48
200807,ir,21
200806,ir,1
200809,ir,17
200903,is,35
200808,is,23
200901,is,53
200902,is,53
200810,is,36
200812,is,47
200811,is,41
200807,is,21
200806,is,4
200809,is,27
200804,is,1
200804,it,33
200805,it,55
200903,it,2234
200808,it,1135
200901,it,3452
200902,it,3587
200810,it,2754
200812,it,3267
200811,it,3109
200807,it,1044
200806,it,123
200809,it,1853
200809,jm,4
200903,jm,2
200808,jm,1
200901,jm,3
200902,jm,4
200810,jm,8
200812,jm,8
200811,jm,15
200807,jm,3
200806,jm,1
200809,jo,5
200903,jo,8
200808,jo,6
200901,jo,13
200902,jo,10
200810,jo,7
200812,jo,15
200811,jo,15
200807,jo,7
200806,jp,211
200804,jp,51
200805,jp,86
200809,jp,3347
200903,jp,3559
200808,jp,2818
200901,jp,5994
200902,jp,6219
200810,jp,4567
200812,jp,5567
200811,jp,5203
200807,jp,2314
200809,ke,6
200903,ke,8
200808,ke,5
200901,ke,9
200902,ke,12
200810,ke,7
200812,ke,11
200811,ke,11
200807,ke,6
200903,kg,1
200810,kg,2
200811,kg,2
200809,kh,4
200808,kh,3
200901,kh,6
200903,kh,2
200902,kh,8
200810,kh,2
200812,kh,7
200807,kh,2
200811,kh,8
200901,kn,1
200812,kn,1
200806,kr,142
200804,kr,52
200805,kr,77
200809,kr,4049
200808,kr,2846
200903,kr,4765
200901,kr,6600
200902,kr,6812
200810,kr,5626
200812,kr,6466
200807,kr,1851
200811,kr,6543
200807,kw,3
200811,kw,5
200809,kw,4
200808,kw,4
200903,kw,3
200901,kw,10
200902,kw,9
200810,kw,9
200812,kw,6
200812,ky,1
200811,ky,1
200809,ky,1
200901,ky,1
200807,kz,5
200812,kz,20
200811,kz,20
200809,kz,12
200808,kz,10
200903,kz,9
200902,kz,16
200901,kz,21
200810,kz,17
200812,la,4
200902,la,3
200810,la,1
200810,lb,4
200807,lb,5
200811,lb,5
200812,lb,8
200809,lb,4
200808,lb,2
200903,lb,4
200901,lb,5
200902,lb,4
200807,lc,1
200810,li,2
200807,li,1
200811,li,4
200812,li,3
200809,li,2
200808,li,2
200901,li,2
200902,li,2
200901,lk,53
200902,lk,57
200810,lk,40
200807,lk,12
200811,lk,50
200812,lk,57
200809,lk,21
200903,lk,27
200808,lk,19
200901,lt,136
200902,lt,122
200806,lt,4
200804,lt,1
200810,lt,138
200805,lt,1
200807,lt,57
200811,lt,145
200812,lt,145
200809,lt,96
200903,lt,84
200808,lt,62
200808,lu,27
200901,lu,73
200902,lu,72
200806,lu,2
200810,lu,59
200807,lu,26
200811,lu,72
200812,lu,80
200809,lu,23
200903,lu,53
200903,lv,77
200808,lv,40
200901,lv,100
200902,lv,106
200804,lv,4
200806,lv,1
200805,lv,3
200810,lv,90
200807,lv,51
200811,lv,93
200812,lv,98
200809,lv,70
200808,ly,1
200902,ly,1
200903,ma,188
200808,ma,115
200901,ma,428
200804,ma,1
200806,ma,6
200902,ma,422
200805,ma,4
200810,ma,177
200807,ma,58
200811,ma,301
200812,ma,371
200809,ma,109
200903,mc,1
200901,mc,4
200902,mc,2
200807,mc,1
200811,mc,2
200812,mc,3
200809,md,41
200903,md,28
200808,md,32
200806,md,2
200901,md,43
200805,md,1
200810,md,46
200902,md,59
200807,md,29
200811,md,45
200812,md,53
200809,me,7
200903,me,5
200808,me,1
200901,me,2
200810,me,10
200902,me,4
200807,me,2
200811,me,9
200812,me,8
200809,mg,3
200903,mg,1
200901,mg,1
200810,mg,4
200902,mg,3
200809,mk,26
200804,mk,3
200808,mk,15
200903,mk,20
200806,mk,1
200805,mk,2
200901,mk,33
200810,mk,38
200902,mk,40
200807,mk,13
200811,mk,52
200812,mk,46
200809,ml,3
200808,ml,2
200903,ml,4
200806,ml,1
200901,ml,1
200810,ml,4
200902,ml,4
200807,ml,3
200811,ml,1
200812,ml,2
200808,mm,1
200903,mm,2
200901,mm,4
200902,mm,9
200811,mm,1
200812,mm,3
200811,mn,13
200812,mn,8
200809,mn,9
200808,mn,10
200903,mn,5
200810,mn,13
200901,mn,25
200902,mn,11
200807,mn,6
200807,mo,17
200811,mo,53
200812,mo,51
200809,mo,22
200808,mo,16
200903,mo,47
200810,mo,40
200901,mo,46
200902,mo,74
200811,mq,1
200901,mr,1
200807,mt,10
200812,mt,40
200811,mt,38
200809,mt,15
200808,mt,9
200903,mt,21
200810,mt,37
200901,mt,45
200902,mt,40
200901,mu,11
200902,mu,7
200807,mu,4
200812,mu,6
