yearmonth,editor,executeCount,userCount
200806,org.eclipse.gmf.xpand.XpandEditor,3,1
200806,org.eclipse.jdt.debug.ui.SnippetEditor,84,9
200806,org.eclipse.jdt.ui.ClassFileEditor,4644,451
200806,org.eclipse.jdt.ui.CompilationUnitEditor,98859,1046
200806,org.eclipse.jdt.ui.JARDescEditor,24,3
200806,org.eclipse.jdt.ui.PropertiesFileEditor,1971,251
200806,org.eclipse.jet.editor.JETEditor,4,2
200806,org.eclipse.jpt.ui.internal.editors.PersistenceEditor,212,33
200806,org.eclipse.jst.jsf.facesconfig.ui.FacesConfigEditor,262,24
200806,org.eclipse.jst.jsp.core.cssjspsource.source,2,1
200806,org.eclipse.jst.jsp.core.jspsource.source,6364,216
200806,org.eclipse.jst.pagedesigner.PageDesignerEditor,409,27
200806,org.eclipse.m2m.atl.adt.editor.AtlEditor,23,2
200806,org.eclipse.m2m.qvt.oml.editor.ui.QvtEditor,40,3
200806,org.eclipse.mtj.ui.editor.JadEditor,45,2
200806,org.eclipse.mylyn.tasks.ui.editors.category,1,1
200806,org.eclipse.mylyn.tasks.ui.editors.task,920,70
200806,org.eclipse.office.gmf.editor.part.OfficeDiagramEditorID,3,1
200806,org.eclipse.pde.ui.buildEditor,140,36
200806,org.eclipse.pde.ui.compositeCheatSheetEditor,4,1
200806,org.eclipse.pde.ui.featureEditor,181,20
200806,org.eclipse.pde.ui.manifestEditor,2159,160
200806,org.eclipse.pde.ui.productEditor,161,24
200806,org.eclipse.pde.ui.sampleEditor,5,1
200806,org.eclipse.pde.ui.schemaEditor,40,9
200806,org.eclipse.pde.ui.simpleCheatSheetEditor,2,1
200806,org.eclipse.pde.ui.siteEditor,39,6
200806,org.eclipse.pde.ui.targetEditor,47,6
200806,org.eclipse.pde.ui.tocEditor,26,3
200806,org.eclipse.php.editor,515,10
200806,org.eclipse.stp.im.presentation.ImEditorID,16,1
200806,org.eclipse.stp.policy.wtp.editor.OperationPolicyMultiPageEditor,4,1
200806,org.eclipse.stp.sca.diagram.part.ScaDiagramEditorID,10,1
200806,org.eclipse.stp.sca.presentation.ScaEditorID,5,2
200806,org.eclipse.ui.browser.editor,2115,173
200806,org.eclipse.ui.DefaultTextEditor,6017,474
200806,org.eclipse.ui.forms.examples.base-editor,5,1
200806,org.eclipse.ui.forms.examples.single-header-editor,8,1
200806,org.eclipse.ui.systemInPlaceEditor,37,17
200806,org.eclipse.uml2.diagram.activity.part.UMLDiagramEditorID,3,3
200806,org.eclipse.uml2.diagram.clazz.part.UMLDiagramEditorID,256,21
200806,org.eclipse.uml2.diagram.component.part.UMLDiagramEditorID,6,2
200806,org.eclipse.uml2.diagram.csd.part.UMLDiagramEditorID,1,1
200806,org.eclipse.uml2.diagram.statemachine.part.UMLDiagramEditorID,3,1
200806,org.eclipse.uml2.diagram.usecase.part.UMLDiagramEditorID,18,4
200806,org.eclipse.uml2.uml.editor.presentation.UMLEditorID,160,20
200806,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,310,8
200806,org.eclipse.wst.css.core.csssource.source,925,75
200806,org.eclipse.wst.dtd.core.dtdsource.source,104,9
200806,org.eclipse.wst.html.core.htmlsource.source,1954,130
200806,org.eclipse.wst.javascript.ui.internal.editor.JSMultiPageEditorPart,1,1
200806,org.eclipse.wst.jsdt.ui.ClassFileEditor,10,6
200806,org.eclipse.wst.jsdt.ui.CompilationUnitEditor,1183,80
200806,org.eclipse.wst.server.ui.editor,132,50
200806,org.eclipse.wst.wsdl.ui.internal.WSDLEditor,265,21
200806,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,9783,491
200806,org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor,769,47
200806,org.eclipse.wst.xsl.ui.XSLEditor,32,4
200806,org.eclipse.xsd.presentation.XSDEditorID,16,2
200807,org.eclipse.ajdt.internal.ui.editor.CompilationUnitEditor,532,52
200807,org.eclipse.am3.tools.tge,117,6
200807,org.eclipse.ant.ui.internal.editor.AntEditor,25602,2914
200807,org.eclipse.atf.mozilla.ide.ui.MozBrowserEditor,41,3
200807,org.eclipse.birt.report.debug.internal.ui.script.editor.DebugJsEditor,4,1
200807,org.eclipse.birt.report.designer.ui.editors.IDEReportDocumentEditor,1,1
200807,org.eclipse.birt.report.designer.ui.editors.LibraryEditor,158,28
200807,org.eclipse.birt.report.designer.ui.editors.ReportEditor,9883,305
200807,org.eclipse.birt.report.designer.ui.editors.TemplateEditor,80,13
200807,org.eclipse.buckminster.ui.editor.QueryEditor,13,4
200807,org.eclipse.buckminster.ui.editors.CSPECEditor,74,9
200807,org.eclipse.buckminster.ui.editors.CSPEXEditor,74,1
200807,org.eclipse.buckminster.ui.editors.RMAPEditor,16,5
200807,org.eclipse.cdt.debug.ui.disassemblyEditor,1,1
200807,org.eclipse.cdt.debug.ui.SourceNotFoundEditor,815,291
200807,org.eclipse.cdt.make.editor,6638,853
200807,org.eclipse.cdt.ui.binaryEditor,578,297
200807,org.eclipse.cdt.ui.editor.asm.AsmEditor,591,73
200807,org.eclipse.cdt.ui.editor.CEditor,202931,3354
200807,org.eclipse.compare.CompareEditor,38331,4320
200807,org.eclipse.datatools.sqltools.data.internal.ui.editor.tableDataEditor,1012,220
200807,org.eclipse.datatools.sqltools.routineeditor.internal.RoutineEditor,124,19
200807,org.eclipse.datatools.sqltools.sqlbuilder,34,13
200807,org.eclipse.datatools.sqltools.sqleditor.SQLEditor,630,64
