command, executeCount200807, userCount200807, executeCount200808, userCount200808, executeCount200809, userCount200809, executeCount200810, userCount200810, executeCount200811, userCount200811, executeCount200812, userCount200812, executeCount200901, userCount200901, executeCount200902, userCount200902, executeCount200903, userCount200903
org.eclipse.equinox.p2.ui.sdk.update, 28703, 12426, 26988, 12508, 30937, 14712, 45587, 21163, 45835, 21751, 44568, 21409, 44429, 21541, 48224, 23175, 15786, 8366
org.eclipse.help.ui.closeTray, 189, 98, 247, 112, 472, 202, 596, 306, 1259, 318, 689, 348, 571, 304, 690, 352, 208, 95
org.eclipse.jdt.debug.ui.breakpoint.properties, 27, 13, 38, 22, 61, 32, 112, 43, 104, 50, 87, 36, 111, 47, 99, 49, 21, 9
org.eclipse.jdt.debug.ui.commands.AddExceptionBreakpoint, 7, 7, 22, 17, 12, 9, 33, 25, 59, 46, 32, 27, 51, 38, 73, 53, 13, 10
org.eclipse.jdt.debug.ui.commands.Display, 713, 202, 1221, 295, 1353, 336, 1668, 463, 2101, 549, 2609, 565, 2279, 585, 2951, 671, 654, 193
org.eclipse.jdt.debug.ui.commands.Execute, 73, 19, 80, 37, 153, 52, 334, 95, 268, 101, 389, 119, 405, 124, 911, 131, 82, 28
org.eclipse.jdt.debug.ui.commands.Inspect, 3987, 893, 5238, 1168, 7339, 1561, 10617, 2155, 11738, 2430, 12513, 2666, 12773, 2688, 14807, 3066, 4421, 1190
org.eclipse.jdt.debug.ui.commands.StepIntoSelection, 35, 10, 25, 12, 60, 17, 51, 12, 55, 37, 53, 34, 46, 27, 41, 25, 17, 9
org.eclipse.jdt.debug.ui.javaAppletShortcut.debug, 23, 6, 23, 16, 30, 21, 112, 48, 128, 77, 118, 52, 119, 41, 120, 77, 8, 8
org.eclipse.jdt.debug.ui.javaAppletShortcut.run, 666, 204, 1004, 333, 1766, 575, 3395, 1004, 4076, 1254, 4264, 1148, 3228, 1065, 3626, 1155, 1047, 346
org.eclipse.jdt.debug.ui.localJavaShortcut.debug, 1356, 612, 2283, 958, 3480, 1380, 5628, 2320, 6377, 2543, 6308, 2596, 6372, 2502, 7550, 2883, 2158, 995
org.eclipse.jdt.debug.ui.localJavaShortcut.run, 24646, 4835, 37565, 6784, 61067, 10166, 100219, 15918, 116326, 18018, 112323, 17658, 104836, 17245, 121475, 19196, 39935, 7737
org.eclipse.jdt.junit.gotoTest, 12, 12, 9, 7, 32, 27, 62, 58, 50, 43, 46, 44, 36, 33, 49, 45, 12, 9
org.eclipse.jdt.junit.junitShortcut.debug, 811, 290, 1175, 445, 1579, 548, 2525, 874, 2267, 858, 2564, 929, 2584, 978, 3128, 1104, 951, 389
org.eclipse.jdt.junit.junitShortcut.rerunFailedFirst, 75, 30, 110, 35, 96, 38, 188, 59, 224, 54, 275, 76, 195, 79, 210, 65, 44, 10
org.eclipse.jdt.junit.junitShortcut.rerunLast, 7042, 823, 8417, 1121, 11252, 1405, 17815, 1950, 18831, 2183, 17758, 2190, 17222, 2082, 19344, 2400, 5730, 968
org.eclipse.jdt.junit.junitShortcut.run, 7860, 1865, 10373, 2411, 15555, 3245, 22114, 4446, 23113, 4799, 23341, 4909, 23465, 4883, 27175, 5489, 8686, 2276
org.eclipse.jdt.ui.correction.assignToLocal.assist, 93, 27, 110, 35, 152, 42, 244, 68, 163, 47, 240, 52, 190, 68, 292, 73, 15, 9
org.eclipse.jdt.ui.correction.renameInFile.assist, 342, 115, 500, 152, 639, 182, 587, 215, 761, 243, 831, 261, 792, 251, 870, 266, 190, 84
org.eclipse.jdt.ui.edit.text.java.add.block.comment, 870, 360, 1416, 551, 1859, 772, 3165, 1226, 3727, 1458, 3992, 1519, 3926, 1466, 4321, 1714, 1461, 675
org.eclipse.jdt.ui.edit.text.java.add.import, 2934, 606, 4116, 812, 5406, 1092, 7466, 1539, 7568, 1602, 8457, 1733, 7774, 1628, 9061, 1789, 2813, 795
org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment, 3275, 680, 3485, 804, 5054, 1191, 7197, 1540, 7388, 1687, 7438, 1728, 6991, 1736, 7800, 1805, 2498, 734
