editor, executeCount200804, userCount200804, executeCount200805, userCount200805, executeCount200806, userCount200806, executeCount200807, userCount200807, executeCount200808, userCount200808, executeCount200809, userCount200809, executeCount200810, userCount200810, executeCount200811, userCount200811, executeCount200812, userCount200812, executeCount200901, userCount200901
org.eclipse.ui.browser.editor, 411, 79, 2829, 190, 2115, 173, 43072, 3781, 60470, 4922, 74499, 5851, 110559, 8414, 127458, 9585, 130189, 9745, 119424, 9643
org.eclipse.ui.DefaultTextEditor, 1973, 210, 5831, 476, 6017, 474, 72297, 8701, 94832, 11407, 126951, 14964, 192147, 21858, 217623, 24747, 234886, 25383, 231961, 25661
org.eclipse.ui.systemInPlaceEditor, 6, 4, 65, 20, 37, 17, 897, 268, 1370, 370, 1604, 490, 2574, 755, 2627, 815, 2882, 903, 3057, 796
org.eclipse.uml2.diagram.clazz.part.UMLDiagramEditorID, 10, 2, 280, 19, 256, 21, 1171, 154, 1052, 126, 1102, 165, 2271, 264, 2031, 259, 2106, 244, 2114, 248
org.eclipse.uml2.diagram.csd.part.UMLDiagramEditorID, 5, 1, 0, 0, 1, 1, 39, 9, 23, 9, 3, 3, 74, 16, 58, 16, 42, 17, 18, 8
org.eclipse.uml2.uml.editor.presentation.UMLEditorID, 28, 7, 316, 18, 160, 20, 836, 169, 748, 164, 868, 202, 1718, 307, 1654, 320, 1663, 342, 1349, 262
org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor, 156, 14, 552, 12, 310, 8, 3695, 217, 6312, 314, 8670, 418, 16039, 733, 18342, 849, 20538, 899, 19625, 840
org.eclipse.wst.css.core.csssource.source, 214, 34, 802, 82, 925, 75, 12965, 1538, 20370, 2278, 25408, 2832, 31915, 3629, 38843, 4349, 40979, 4709, 40234, 4821
org.eclipse.wst.dtd.core.dtdsource.source, 27, 4, 16, 7, 104, 9, 782, 202, 822, 205, 1238, 290, 2490, 384, 2779, 447, 2599, 459, 2241, 444
org.eclipse.wst.html.core.htmlsource.source, 1506, 81, 3143, 163, 1954, 130, 36079, 3059, 48813, 4123, 60889, 5124, 83255, 6984, 95281, 7873, 101566, 8276, 97196, 8180
org.eclipse.wst.jsdt.ui.ClassFileEditor, 10, 4, 41, 6, 10, 6, 534, 162, 524, 167, 668, 161, 665, 209, 628, 204, 581, 211, 609, 208
