yearmonth,view,executeCount,userCount
200805,org.eclipse.contribution.visualiser.views.Visualiser,6,1
200805,org.eclipse.contribution.xref.ui.views.XReferenceView,15,3
200805,org.eclipse.datatools.connectivity.DataSourceExplorerNavigator,465,114
200805,org.eclipse.datatools.sqltools.plan.planView,22,12
200805,org.eclipse.datatools.sqltools.result.resultView,340,26
200805,org.eclipse.debug.ui.BreakpointView,839,170
200805,org.eclipse.debug.ui.DebugView,6720,392
200805,org.eclipse.debug.ui.ExpressionView,282,71
200805,org.eclipse.debug.ui.MemoryView,10,3
200805,org.eclipse.debug.ui.ModuleView,5,4
200805,org.eclipse.debug.ui.PHPBrowserOutput,6,2
200805,org.eclipse.debug.ui.PHPDebugOutput,5,2
200805,org.eclipse.debug.ui.RegisterView,9,5
200805,org.eclipse.debug.ui.VariableView,2863,296
200805,org.eclipse.dltk.ui.ScriptExplorer,11,3
200805,org.eclipse.ecf.example.collab.discoveryview,8,4
200805,org.eclipse.ecf.internal.example.collab.ui.LineChatView,41,3
200805,org.eclipse.ecf.presence.ui.chatroom.ChatRoomManagerView,29,3
200805,org.eclipse.ecf.presence.ui.MessagesView,22,3
200805,org.eclipse.ecf.presence.ui.MultiRosterView,25,3
200805,org.eclipse.emf.cdo.CDOSessionsView,3,1
200805,org.eclipse.emf.ecoretools.internal.views.EClassHierarchyView,1,1
200805,org.eclipse.emf.ecoretools.internal.views.EReferencesView,2,2
200805,org.eclipse.gef.ui.palette_view,48,13
200805,org.eclipse.gmf.bridge.ui.dashboard.DashboardPart,26,3
200805,org.eclipse.help.ui.HelpView,116,59
200805,org.eclipse.hyades.logging.adapter.ui.internal.views.contentview,5,1
200805,org.eclipse.hyades.logging.adapter.ui.internal.views.logview,23,1
200805,org.eclipse.hyades.logging.adapter.ui.internal.views.resultview,6,1
200805,org.eclipse.hyades.trace.internal.ui.PDProjectExplorer,80,8
200805,org.eclipse.hyades.trace.views.adapter.internal.CoverageStatisticViewer,1,1
200805,org.eclipse.hyades.trace.views.adapter.internal.ExecutionStatisticViewer2,84,6
200805,org.eclipse.hyades.trace.views.adapter.internal.MemoryStatisticViewer,3,2
200805,org.eclipse.hyades.trace.views.adapter.internal.PatternViewer,20,2
200805,org.eclipse.hyades.uml2sd.trace.view.TraceSDView,2,1
200805,org.eclipse.images.views.ImageView,14,1
200805,org.eclipse.jdt.callhierarchy.view,1115,129
200805,org.eclipse.jdt.debug.ui.DisplayView,87,15
200805,org.eclipse.jdt.junit.ResultView,3045,177
200805,org.eclipse.jdt.ui.JavadocView,336,123
200805,org.eclipse.jdt.ui.MembersView,269,17
200805,org.eclipse.jdt.ui.PackageExplorer,39923,1100
200805,org.eclipse.jdt.ui.PackagesView,401,26
200805,org.eclipse.jdt.ui.ProjectsView,473,32
200805,org.eclipse.jdt.ui.SourceView,158,93
200805,org.eclipse.jdt.ui.TypeHierarchy,1053,226
200805,org.eclipse.jdt.ui.TypesView,534,26
200805,org.eclipse.jpt.ui.jpaDetailsView,82,12
200805,org.eclipse.jpt.ui.jpaStructureView,31,8
200805,org.eclipse.jst.jsf.ui.component.ComponentTreeView,3,2
200805,org.eclipse.m2m.internal.qvt.oml.common.views.MetamodelBrowserView,3,3
200805,org.eclipse.mat.ui.views.InspectorView,3,2
200805,org.eclipse.mat.ui.views.SnapshotHistoryView,1,1
200805,org.eclipse.mylyn.tasks.ui.views.repositories,149,73
200805,org.eclipse.mylyn.tasks.ui.views.tasks,1614,273
200805,org.eclipse.pde.runtime.LogView,318,116
200805,org.eclipse.pde.runtime.RegistryBrowser,9,5
200805,org.eclipse.pde.ui.DependenciesView,65,13
200805,org.eclipse.pde.ui.PluginsView,56,31
200805,org.eclipse.pde.visualization.views.SampleView,2,1
200805,org.eclipse.php.ui.explorer,269,9
200805,org.eclipse.php.ui.functions,16,4
200805,org.eclipse.php.ui.projectOutline,5,4
200805,org.eclipse.rse.shells.ui.view.commandsView,8,4
