yearmonth,perspective,executeCount,userCount
200808,org.eclipse.dltk.tcl.ui.TclPerspective,37,10
200808,org.eclipse.ecf.ui.perspective.communications,177,84
200808,org.eclipse.emf.ecoretools.perspective,59,36
200808,org.eclipse.epsilon.perspective.EpsilonPerspectiveFactory,12,2
200808,org.eclipse.equinox.jmx.client.ui.ClientPerspectiveFactory,5,4
200808,org.eclipse.equinox.p2.ui.admin.ProvisioningPerspective,1,1
200808,org.eclipse.equinox.p2.ui.admin.rcp.ProvisioningRCPPerspective,1,1
200808,org.eclipse.hibachi.ui.AdaPerspective,1,1
200808,org.eclipse.hyades.logging.adapter.ui.internal.perspective,3,3
200808,org.eclipse.hyades.trace.internal.ui.tracePerspective,386,113
200808,org.eclipse.hyades.ui.perspective.TestPerspective,11,11
200808,org.eclipse.jdt.ui.JavaBrowsingPerspective,2269,893
200808,org.eclipse.jdt.ui.JavaHierarchyPerspective,62,39
200808,org.eclipse.jdt.ui.JavaPerspective,123865,27811
200808,org.eclipse.jpt.ui.jpaPerspective,462,252
200808,org.eclipse.jst.j2ee.J2EEPerspective,61991,20504
200808,org.eclipse.jwt.we.perspective,3,1
200808,org.eclipse.m2m.atl.adt.atlPerspective,45,23
200808,org.eclipse.mat.ui.perspective,24,14
200808,org.eclipse.mtj.ui.MtjPerspective,18,11
200808,org.eclipse.mylyn.tasks.ui.perspectives.planning,756,363
200808,org.eclipse.office.perspective,1,1
200808,org.eclipse.pde.ui.PDEPerspective,3254,982
200808,org.eclipse.photran.ui.FortranPerspective,33,12
200808,org.eclipse.php.debug.ui.PHPDebugPerspective,189,51
200808,org.eclipse.php.perspective,1556,458
200808,org.eclipse.ptp.debug.ui.PTPDebugPerspective,5,2
200808,org.eclipse.ptp.ui.PTPRunPerspective,5,2
200808,org.eclipse.rse.ui.view.SystemPerspective,633,216
200808,org.eclipse.stp.sc.jaxws.perspective,10,5
200808,org.eclipse.stp.sc.sca.java.perspective,2,1
200808,org.eclipse.team.cvs.ui.cvsPerspective,3431,1577
200808,org.eclipse.team.svn.ui.repository.RepositoryPerspective,3035,1176
200808,org.eclipse.team.ui.TeamSynchronizingPerspective,25231,5675
200808,org.eclipse.ui.atf.webDevPerspective,66,6
200808,org.eclipse.ui.resourcePerspective,5386,1813
